,사고지역위치명,occur,dead,ser_inj,inj,사상자수,total,,num_of_cam,,ca_yn
13,강동구 강일동,4,0,0,2,2,0.2,,1,,1
51,구로구 천왕동,2,0,0,2,2,0.2,,1,,1
212,종로구 세종로,3,0,1,1,2,0.4,,1,,1
204,종로구 관훈동,3,0,1,1,2,0.4,,1,,1
11,강남구 자곡동,2,0,1,1,2,0.4,,1,,1
203,종로구 관철동,4,0,0,4,4,0.4,,1,,1
220,종로구 혜화동,4,0,1,2,3,0.5,,1,,1
92,마포구 상암동,4,0,1,2,3,0.5,,1,,1
121,서초구 우면동,3,0,1,2,3,0.5,,1,,1
226,중구 북창동,3,0,1,2,3,0.5,,1,,1
235,중구 인현동,3,0,1,2,3,0.5,,1,,1
210,종로구 사직동,3,0,2,1,3,0.7,,2,,1
130,성동구 옥수동,3,0,2,1,3,0.7,,2,,1
179,용산구 용문동,3,0,2,1,3,0.7,,2,,1
199,종로구 견지동,3,0,2,1,3,0.7,,2,,1
98,마포구 염리동,2,1,1,0,2,0.8,,2,,1
218,종로구 청운동,5,0,2,2,4,0.8,,2,,1
177,용산구 서계동,4,0,2,2,4,0.8,,2,,1
89,마포구 마포동,5,0,2,3,5,0.9,,2,,1
207,종로구 내자동,3,1,1,1,3,0.9,,2,,1
126,성동구 사근동,4,0,2,3,5,0.9,,2,,1
205,종로구 교북동,3,0,3,0,3,0.9,,2,,1
209,종로구 묘동,4,0,3,1,4,1,,3,,1
31,강서구 외발산동,5,0,3,1,4,1,,3,,1
76,동작구 동작동,9,0,1,7,8,1,,3,,1
84,마포구 구수동,4,0,3,1,4,1,,3,,1
108,서대문구 신촌동,7,0,2,4,6,1,,3,,1
181,용산구 원효로1동,5,0,3,1,4,1,,3,,1
182,용산구 원효로2동,5,0,3,1,4,1,,3,,1
194,은평구 수색동,2,2,0,0,2,1,,3,,1
232,중구 오장동,4,0,3,1,4,1,,3,,1
102,마포구 합정동,10,0,2,5,7,1.1,,3,,1
7,강남구 신사동,7,0,2,5,7,1.1,,4,,1
132,성동구 응봉동,3,2,0,1,3,1.1,,4,,1
227,중구 산림동,4,1,2,0,3,1.1,,4,,1
100,마포구 중동,4,1,2,1,4,1.2,,4,,1
107,서대문구 북아현동,4,0,4,0,4,1.2,,4,,1
174,용산구 남영동,6,0,3,3,6,1.2,,4,,1
187,용산구 효창동,4,1,2,1,4,1.2,,4,,1
91,마포구 상수동,10,0,3,4,7,1.3,,5,,1
50,구로구 온수동,5,0,4,1,5,1.3,,5,,1
133,성동구 하왕십리동,8,0,3,4,7,1.3,,5,,1
180,용산구 용산동,5,0,4,1,5,1.3,,5,,1
214,종로구 장사동,6,0,4,1,5,1.3,,5,,1
101,마포구 창전동,8,0,4,3,7,1.5,,6,,1
219,종로구 충신동,5,0,5,0,5,1.5,,6,,1
8,강남구 압구정동,11,0,3,6,9,1.5,,6,,1
99,마포구 용강동,8,0,4,3,7,1.5,,6,,1
188,용산구 후암동,5,1,3,1,5,1.5,,7,,1
231,중구 쌍림동,5,0,5,0,5,1.5,,7,,1
104,서대문구 냉천동,7,2,1,3,6,1.6,,7,,1
200,종로구 경운동,7,1,2,5,8,1.6,,7,,1
47,구로구 궁동,8,0,4,4,8,1.6,,7,,1
175,용산구 문배동,3,2,2,0,4,1.6,,7,,1
234,중구 의주로동,7,0,5,1,6,1.6,,7,,1
236,중구 중림동,7,0,5,1,6,1.6,,8,,1
239,중구 회현동,7,0,5,1,6,1.6,,8,,1
28,강서구 마곡동,9,0,4,5,9,1.7,,9,,1
173,용산구 갈월동,7,1,3,3,7,1.7,,9,,1
33,관악구 남현동,10,0,5,3,8,1.8,,10,,1
221,종로구 효제동,10,0,5,4,9,1.9,,10,,1
96,마포구 아현동,6,2,3,0,5,1.9,,10,,1
127,성동구 상왕십리동,7,1,4,2,7,1.9,,10,,1
113,서대문구 충정로동,11,0,5,5,10,2,,10,,1
142,성북구 상월곡동,13,0,4,8,12,2,,11,,1
202,종로구 관수동,10,1,4,5,10,2.2,,11,,1
135,성동구 홍익동,8,1,5,2,8,2.2,,11,,1
112,서대문구 천연동,8,2,4,1,7,2.3,,11,,1
208,종로구 명륜동,12,0,6,5,11,2.3,,11,,1
184,용산구 이태원동,9,1,5,3,9,2.3,,12,,1
170,영등포구 양화동,15,0,5,9,14,2.4,,12,,1
